Time (sec),Vehicle speed (MPH),Fuel rate (l/hr),Total CO2 (kg), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Engine coolant temperature (°C),Engine coolant temperature 1 (°C),Acceleration (m/s²),Engine Torque (kg•m),Max Speed (MPH),Total Trip CO2 (kg),Instant CO2 rate (g/km),CO2 flow (g/s), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Roll (deg), Pitch (deg),Magnetometer X (µT), Magnetometer Y (µT), Magnetometer Z (µT),Calculated load value (%), Intake manifold absolute pressure (bar),Engine RPM (RPM), Intake air temperature (°C), Ambient air temperature (°C), Absolute throttle position B (%), Accelerator pedal position D (%), Accelerator pedal position E (%), Intake manifold absolute pressure (bar), Mass air flow rate (g/s), Boost (bar),Engine Power (kW),Average Trip CO2 Rate (g/km),Altitude (m),Instant fuel economy (l/100 km),Total fuel economy (l/100 km), Time since engine start (sec), Number of warm-ups since DTCs cleared, Distance traveled since DTCs cleared (km), Barometric pressure (bar),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 1),O2 sensor current wide range (Bank 1  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 2),O2 sensor current wide range (Bank 1  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 3),O2 sensor current wide range (Bank 1  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 4),O2 sensor current wide range (Bank 1  Sensor 4) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 1),O2 sensor current wide range (Bank 2  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 2),O2 sensor current wide range (Bank 2  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 3),O2 sensor current wide range (Bank 2  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 4),O2 sensor current wide range (Bank 2  Sensor 4) (mA), Control module voltage (V), Absolute throttle position C (%), Mass air flow sensor B (g/s), Relative throttle B position (%), Commanded boost pressure A (bar), Boost pressure sensor A (bar), Commanded boost pressure B (bar), Boost pressure sensor B (bar), Boost pressure A control status, Boost pressure B control status,Charge air cooler temperature bank 1  sensor 1 (°C),Charge air cooler temperature bank 1  sensor 2 (°C), Manifold surface temperature (°C), Intake manifold absolute pressure A (bar), Intake manifold absolute pressure B (bar),Total run time with EI-AECD #11 Timer 1 active (sec),Total run time with EI-AECD #11 Timer 2 active (sec),Total run time with EI-AECD #12 Timer 1 active (sec),Total run time with EI-AECD #12 Timer 2 active (sec), Diesel aftertreatment status,O2 sensor concentration bank 1 sensor 1 (%),O2 sensor concentration bank 1 sensor 2 (%),O2 sensor concentration bank 2 sensor 1 (%),O2 sensor concentration bank 2 sensor 2 (%), Absolute throttle position G (%),Target SCR Catalyst NH3 Storage A (g/L),Actual/Modelled SCR Catalyst NH3 Storage A (g/L),Target SCR Catalyst NH3 Storage B (g/L),Actual/Modelled SCR Catalyst NH3 Storage B (g/L), Hydrocarbon Doser Flow Rate (g/min), Hydrocarbon Doser Injector Duty Cycle (%),O2 sensor concentration bank 1 sensor 3 (%),O2 sensor concentration bank 1 sensor 4 (%),O2 sensor concentration bank 2 sensor 3 (%),O2 sensor concentration bank 2 sensor 4 (%),O2 sensor lambda bank 1 sensor 3,O2 sensor lambda bank 1 sensor 4,O2 sensor lambda bank 2 sensor 3,O2 sensor lambda bank 2 sensor 4, Engine Fuel Rate (g/s), Vehicle Fuel Rate (g/s), Engine Exhaust Flow Rate (g/s),Fuel System A Use Percentage Bank 1 (%),Fuel System A Use Percentage Bank 2 (%), Cylinder Fuel Rate, Transmission Actual Gear Status, Transmission Actual Gear Ratio, Vehicle Odometer Reading (km), Motorcycle ABS Disable Switch State, Maximum Current Vehicle Speed Limit (MPH), Alternative Fuel Tank Pressure (bar), Alternative Fuel Tank Temperature (°C),Crankcase Pressure Sensor (inH2O),Fuel System Status Bank 1,Fuel System Status Bank 2,Short Term Fuel Trim Bank 1 (%),Long Term Fuel Trim Bank 1 (%),Short Term Fuel Trim Bank 2 (%),Long Term Fuel Trim Bank 2 (%),O2 Sensor Concentration Bank 1 Sensor 5 (%),O2 Sensor Concentration Bank 1 Sensor 6 (%),O2 Sensor Concentration Bank 2 Sensor 5 (%),O2 Sensor Concentration Bank 2 Sensor 6 (%),O2 Sensor Lambda Bank 1 Sensor 5,O2 Sensor Lambda Bank 1 Sensor 6,O2 Sensor Lambda Bank 2 Sensor 5,O2 Sensor Lambda Bank 2 Sensor 6, Input voltage read by the scan tool (V), Acceleration (Avg) (m/s²), A/F Commanded, A/F Actual,Trip Distance (km), Trip Fuel (gal),Trip Fuel Economy (l/100 km),Trip Duration (min), Idling Count, Seconds Idling (sec)
0.000,0,0,0,0.9320831,-0.2370605,-1.808166,0,0,0,0,0,0,0,0,0.5419757,2.738853,-1.436929,-3.138674,-54.29818,65.95663,17.91488,71.8597,0,0,0,0,0,0,0,0,0,0,0,0,0,345.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.513,0,0.7658874,3.431148,-1.03009,-0.4151917,0.383316,90,90,-0.003862283,2.360713,0,0.001967978,0,0.5721331,-0.2961682,0.04843409,-0.1574662,-13.23435,-74.7191,61.99611,-29.77819,73.55806,25.4902,1.01,979,45,34,0,15.29412,14.90196,0.8708065,11.73202,0.04,2.308931,0,345.3,0,5.66624,178,50,3417,0.97,4.109936,2.851563,4.045032,2.90625,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,69,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,-0.01837879,0,59.59407,0,0.0001933181,0,0.08825184,1,1.778297
7.514,0,0.8266524,3.432278,-2.810623,1.405869,7.012039,90,90,2.792905E-16,2.677942,0,0.003097609,0,0.6175258,-0.09277634,-0.3567877,0.07234126,-13.41728,-74.81945,60.6175,-29.74138,73.62502,43.92157,1.01,931.5,45,34,0,15.29412,14.90196,0.9538683,11.16279,0.04,2.49212,0,345.2,0,5.668105,178,50,3417,0.97,2.645936,2.332031,2.572736,2.347656,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,69,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,-0.03165989,0,38.36607,0,0.0003042838,0,0.1189838,1,3.622016
8.515,0,0.8266524,3.432278,-4.775879,3.24617,40.4951,90,90,2.792905E-16,2.677942,0,0.003097609,0,0.6175258,0.4258838,-0.3770524,0.1081055,-11.96277,-74.57864,55.45729,-33.71427,72.38914,43.92157,1.01,931.5,45,34,0,15.29412,14.90196,0.9538683,11.16279,0.04,2.49212,0,345.2,0,5.668105,178,50,3417,0.97,2.645936,2.332031,2.572736,2.347656,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,69,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,-0.03165989,0,38.36607,0,0.0003042838,0,0.1189838,1,3.622016
9.512,2.485485,0.9667311,3.433579,-7.687988,-7.597473,6.373199,90,90,0.3072458,2.934812,2.485485,0.004399061,649.9506,0.7221673,-0.2245757,0.07456247,0.02357343,-10.25194,-75.67438,56.89193,-39.5534,49.18652,34.5098,1.04,994,45,34,0,15.29412,16.86275,0.6804032,12.26559,0.07,2.914417,2189.581,345.1,24.16826,5.669749,178,50,3417,0.97,2.360456,2.144531,2.355088,2.195313,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,69,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0.02978926,0,34.22661,0.002009089,0.0004321278,81.41904,0.148487,1,5.392228
10.513,2.485485,0.9667311,3.433579,-2.964355,5.006897,20.53343,90,90,0.3072458,2.934812,2.485485,0.004399061,649.9506,0.7221673,-0.2869601,-0.04570681,-0.007256967,-9.817801,-76.25822,55.78802,-37.49216,46.51996,34.5098,1.04,994,45,34,0,15.29412,16.86275,0.6804032,12.26559,0.07,2.914417,2189.581,344.9,24.16826,5.669749,178,50,3417,0.97,2.360456,2.144531,2.355088,2.195313,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,69,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0.02978926,0,34.22661,0.002009089,0.0004321278,81.41904,0.148487,1,5.392228
11.519,3.728227,0.8605816,3.434739,-3.222519,5.746628,18.49683,90,90,0.4622169,2.211058,3.728227,0.005558808,385.7229,0.6428716,0.09876572,0.1319843,-0.1393622,-9.579335,-75.77325,51.25406,-33.6208,44.15594,53.72549,1.05,1174.5,44,34,0,28.62745,28.62745,0.7224113,14.63225,0.08,2.594407,1112.54,344.7,14.34302,5.670911,178,50,3417,0.97,1.416176,1.230469,1.394704,1.210938,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,69,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0.07623222,0,20.53455,0.004996502,0.0005460519,41.36953,0.1856102,1,7.619613
12.514,3.728227,0.8605816,3.434739,-2.223969,2.300705,8.378967,90,90,0.4622169,2.211058,3.728227,0.005558808,385.7229,0.6428716,0.09960112,0.3037367,-0.3348033,-9.938273,-75.66153,49.90297,-29.66402,42.93582,53.72549,1.05,1174.5,44,34,0,28.62745,28.62745,0.7224113,14.63225,0.08,2.594407,1112.54,344.6,14.34302,5.670911,178,50,3417,0.97,1.416176,1.230469,1.394704,1.210938,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,69,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0.07623222,0,20.53455,0.004996502,0.0005460519,41.36953,0.1856102,1,7.619613
13.518,6.213712,1.816236,3.4377,0.3283691,-0.1753235,0.7375946,90,90,0.4083155,4.477669,6.213712,0.00851944,488.4352,1.356765,0.292247,0.2384153,0.1062783,-10.24134,-75.22084,50.3742,-28.11612,42.36838,70.98039,1.06,1224,44,34,0,29.80392,29.80392,0.826215,15.4427,0.09,5.475432,768.3577,344.4,18.16235,5.674265,178,50,3417,0.97,1.36884,0.9960938,1.377136,1.03125,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,69,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0.1269011,0,19.84818,0.01108786,0.0008368802,28.5712,0.2154275,1,9.408744
14.518,6.213712,1.816236,3.4377,0.6415405,-0.2082062,-0.3238831,90,90,0.4083155,4.477669,6.213712,0.00851944,488.4352,1.356765,0.3027042,-0.2527393,-0.1247658,-9.796645,-75.57581,50.52073,-28.09509,41.98056,70.98039,1.06,1224,44,34,0,29.80392,29.80392,0.826215,15.4427,0.09,5.475432,768.3577,344.4,18.16235,5.674265,178,50,3417,0.97,1.36884,0.9960938,1.377136,1.03125,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,69,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0.1269011,0,19.84818,0.01108786,0.0008368802,28.5712,0.2154275,1,9.408744
