Time (sec),Vehicle speed (MPH),Fuel rate (l/hr),Total CO2 (kg), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Engine coolant temperature (°C),Engine coolant temperature 1 (°C),Acceleration (m/s²),Engine Torque (kg•m),Max Speed (MPH),Total Trip CO2 (kg),Instant CO2 rate (g/km),CO2 flow (g/s), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Roll (deg), Pitch (deg),Magnetometer X (µT), Magnetometer Y (µT), Magnetometer Z (µT),Calculated load value (%), Intake manifold absolute pressure (bar), Engine RPM (RPM), Intake air temperature (°C), Ambient air temperature (°C), Absolute throttle position B (%), Accelerator pedal position D (%), Accelerator pedal position E (%), Intake manifold absolute pressure (bar), Mass air flow rate (g/s), Boost (bar),Engine Power (kW),Average Trip CO2 Rate (g/km),Altitude (m),Instant fuel economy (l/100 km),Total fuel economy (l/100 km), Time since engine start (sec), Number of warm-ups since DTCs cleared, Distance traveled since DTCs cleared (km), Barometric pressure (bar),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 1),O2 sensor current wide range (Bank 1  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 2),O2 sensor current wide range (Bank 1  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 3),O2 sensor current wide range (Bank 1  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 4),O2 sensor current wide range (Bank 1  Sensor 4) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 1),O2 sensor current wide range (Bank 2  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 2),O2 sensor current wide range (Bank 2  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 3),O2 sensor current wide range (Bank 2  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 4),O2 sensor current wide range (Bank 2  Sensor 4) (mA), Control module voltage (V), Absolute throttle position C (%), Mass air flow sensor B (g/s), Relative throttle B position (%), Commanded boost pressure A (bar), Boost pressure sensor A (bar), Commanded boost pressure B (bar), Boost pressure sensor B (bar), Boost pressure A control status, Boost pressure B control status,Charge air cooler temperature bank 1  sensor 1 (°C),Charge air cooler temperature bank 1  sensor 2 (°C), Manifold surface temperature (°C), Intake manifold absolute pressure A (bar), Intake manifold absolute pressure B (bar),Total run time with EI-AECD #11 Timer 1 active (sec),Total run time with EI-AECD #11 Timer 2 active (sec),Total run time with EI-AECD #12 Timer 1 active (sec),Total run time with EI-AECD #12 Timer 2 active (sec), Diesel aftertreatment status,O2 sensor concentration bank 1 sensor 1 (%),O2 sensor concentration bank 1 sensor 2 (%),O2 sensor concentration bank 2 sensor 1 (%),O2 sensor concentration bank 2 sensor 2 (%), Absolute throttle position G (%),Target SCR Catalyst NH3 Storage A (g/L),Actual/Modelled SCR Catalyst NH3 Storage A (g/L),Target SCR Catalyst NH3 Storage B (g/L),Actual/Modelled SCR Catalyst NH3 Storage B (g/L), Hydrocarbon Doser Flow Rate (g/min), Hydrocarbon Doser Injector Duty Cycle (%),O2 sensor concentration bank 1 sensor 3 (%),O2 sensor concentration bank 1 sensor 4 (%),O2 sensor concentration bank 2 sensor 3 (%),O2 sensor concentration bank 2 sensor 4 (%),O2 sensor lambda bank 1 sensor 3,O2 sensor lambda bank 1 sensor 4,O2 sensor lambda bank 2 sensor 3,O2 sensor lambda bank 2 sensor 4, Engine Fuel Rate (g/s), Vehicle Fuel Rate (g/s), Engine Exhaust Flow Rate (g/s),Fuel System A Use Percentage Bank 1 (%),Fuel System A Use Percentage Bank 2 (%), Cylinder Fuel Rate, Transmission Actual Gear Status, Transmission Actual Gear Ratio, Vehicle Odometer Reading (km), Motorcycle ABS Disable Switch State, Maximum Current Vehicle Speed Limit (MPH), Alternative Fuel Tank Pressure (bar), Alternative Fuel Tank Temperature (°C),Crankcase Pressure Sensor (inH2O),Fuel System Status Bank 1,Fuel System Status Bank 2,Short Term Fuel Trim Bank 1 (%),Long Term Fuel Trim Bank 1 (%),Short Term Fuel Trim Bank 2 (%),Long Term Fuel Trim Bank 2 (%),O2 Sensor Concentration Bank 1 Sensor 5 (%),O2 Sensor Concentration Bank 1 Sensor 6 (%),O2 Sensor Concentration Bank 2 Sensor 5 (%),O2 Sensor Concentration Bank 2 Sensor 6 (%),O2 Sensor Lambda Bank 1 Sensor 5,O2 Sensor Lambda Bank 1 Sensor 6,O2 Sensor Lambda Bank 2 Sensor 5,O2 Sensor Lambda Bank 2 Sensor 6, Input voltage read by the scan tool (V), Acceleration (Avg) (m/s²), A/F Commanded, A/F Actual,Trip Distance (km), Trip Fuel (gal),Trip Fuel Economy (l/100 km),Trip Duration (min), Idling Count, Seconds Idling (sec)
0.000,0,0,0,5.013046,17.56993,-2.792236,0,0,0,0,0,0,0,0,0.7795483,0.6037362,0.7834482,1.279326,-47.42752,0.5717468,29.91968,-33.94762,0,0,0,0,0,0,0,0,0,0,0,0,0,343.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.000,0,0,0,-2.143951,-29.43997,-12.49529,0,0,0,0,0,0,0,0,0.8909563,0.6083044,-0.7112943,1.53036,-37.74077,5.119186,22.36573,-39.74582,0,0,0,0,0,0,0,0,0,0,0,0,0,343.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.000,0,0,0,25.26276,-18.54793,-17.88626,0,0,0,0,0,0,0,0,-0.6166194,0.3793632,0.9354739,-4.021341,-33.51747,17.94553,21.73512,-47.64885,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.002,8.077826,0,0,-15.29323,-32.06523,-12.72498,90,90,0.0102411,1.689334,8.077826,0,442.0019,0,-1.307593,1.138056,-0.8613704,-9.124451,-26.26519,7.113327,15.88043,-56.20145,25.88235,1,969.5,28,19,0,19.21569,18.03922,0,12.48414,0,0,0,344,16.43574,5.2321,2202,60,4051,0.98,3.357928,2.636719,3.23056,2.65625,0,0,0,0,0,0,0,0,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,64,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0.002048219,0,48.68996,0,0,0,0,0,0
4.000,8.077826,0,0,-14.68216,-4.606781,-25.35236,90,90,0.0102411,1.689334,8.077826,0,442.0019,0,2.559501,-0.1931201,1.575292,0.964178,-33.65488,-2.597939,22.63768,-51.90274,25.88235,1,969.5,28,19,0,19.21569,18.03922,0,12.48414,0,0,0,344,16.43574,5.2321,2202,60,4051,0.98,3.357928,2.636719,3.23056,2.65625,0,0,0,0,0,0,0,0,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,64,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0.002048219,0,48.68996,0,0,0,0,0,0
5.000,8.077826,0.4772592,8.643577,3.454437,-3.877899,-7.365845,90,90,0.0102411,1.620906,8.077826,0.001131781,98.72919,0.3565221,-0.3343238,0.2169244,0.4021768,-2.181618,-37.47296,-10.63973,24.57447,-50.58092,21.56863,1,888.5,28,19,0,18.82353,18.82353,0.518412,11.13718,0.02,1.4388,99.31927,343.9,3.671222,5.231814,2202,60,4051,0.97,2.745488,2.371094,2.870416,2.492188,0,0,0,0,0,0,0,0,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,64,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0.002048219,0,39.80957,0.01139539,0.000111177,3.693164,0.08580244,0,0
6.001,7.456454,0.4539013,8.644168,-1.434311,25.58803,-25.48024,90,90,-0.07870124,1.453252,8.077826,0.001722832,101.722,0.3390732,0.7094529,-0.1568885,1.316853,0.803021,-40.24129,-22.45081,25.39302,-44.79745,34.90196,1,942.5,28,19,0,21.17647,20.39216,0.6455855,11.81406,0.03,1.368382,99.7129,343.9,3.782508,5.231671,2202,60,4051,0.97,2.65472,2.351563,2.541016,2.324219,0,0,0,0,0,0,0,0,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,64,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,-0.01369203,0,38.49344,0.01727792,0.0001692369,3.707801,0.1155894,0,0
7.001,7.456454,0.4539013,8.644168,5.889542,-26.03413,-25.70012,90,90,-0.07870124,1.453252,8.077826,0.001722832,101.722,0.3390732,0.6453398,0.2013098,0.01779402,2.352975,-39.10461,-23.68386,17.76809,-46.73393,34.90196,1,942.5,28,19,0,21.17647,20.39216,0.6455855,11.81406,0.03,1.368382,99.7129,343.8,3.782508,5.231671,2202,60,4051,0.97,2.65472,2.351563,2.541016,2.324219,0,0,0,0,0,0,0,0,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,64,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,-0.01369203,0,38.49344,0.01727792,0.0001692369,3.707801,0.1155894,0,0
8.001,8.077826,0.6834173,8.645083,-11.38191,-10.15639,-10.12053,90,90,-0.001711344,2.075769,8.077826,0.00263774,141.3765,0.5105262,0.7578569,0.005255199,-0.3910449,-2.166818,-33.42019,-16.68769,11.8227,-47.7426,29.41176,1.01,993.5,28,19,0,27.05882,28.23529,0.5662745,12.57787,0.04,2.060307,110.8652,343.7,5.257052,5.23167,2202,60,4051,0.97,1.85196,1.710938,1.879288,1.773438,0,0,0,0,0,0,0,0,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,64,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0.00170595,0,26.85342,0.02379232,0.00025911,4.122495,0.1446045,0,0
9.001,8.077826,0.6834173,8.645083,-1.409897,19.45169,-33.35771,90,90,-0.001711344,2.075769,8.077826,0.00263774,141.3765,0.5105262,-1.040822,0.604184,-3.816286,-2.383573,-27.96779,-19.49113,7.589138,-51.13782,29.41176,1.01,993.5,28,19,0,27.05882,28.23529,0.5662745,12.57787,0.04,2.060307,110.8652,343.6,5.257052,5.23167,2202,60,4051,0.97,1.85196,1.710938,1.879288,1.773438,0,0,0,0,0,0,0,0,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,64,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0.00170595,0,26.85342,0.02379232,0.00025911,4.122495,0.1446045,0,0
