Time (sec),Vehicle speed (MPH),Fuel rate (l/hr),Total CO2 (kg), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Engine coolant temperature (°C),Engine coolant temperature 1 (°C),Acceleration (m/s²),Engine Torque (kg•m),Max Speed (MPH),Total Trip CO2 (kg),Instant CO2 rate (g/km),CO2 flow (g/s), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Roll (deg), Pitch (deg),Magnetometer X (µT), Magnetometer Y (µT), Magnetometer Z (µT),Calculated load value (%), Intake manifold absolute pressure (bar), Engine RPM (RPM), Intake air temperature (°C), Ambient air temperature (°C), Absolute throttle position B (%), Accelerator pedal position D (%), Accelerator pedal position E (%), Intake manifold absolute pressure (bar), Mass air flow rate (g/s), Boost (bar),Engine Power (kW),Average Trip CO2 Rate (g/km),Altitude (m),Instant fuel economy (l/100 km),Total fuel economy (l/100 km), Time since engine start (sec), Number of warm-ups since DTCs cleared, Distance traveled since DTCs cleared (km), Barometric pressure (bar),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 1),O2 sensor current wide range (Bank 1  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 2),O2 sensor current wide range (Bank 1  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 3),O2 sensor current wide range (Bank 1  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 4),O2 sensor current wide range (Bank 1  Sensor 4) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 1),O2 sensor current wide range (Bank 2  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 2),O2 sensor current wide range (Bank 2  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 3),O2 sensor current wide range (Bank 2  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 4),O2 sensor current wide range (Bank 2  Sensor 4) (mA), Control module voltage (V), Absolute throttle position C (%), Mass air flow sensor B (g/s), Relative throttle B position (%), Commanded boost pressure A (bar), Boost pressure sensor A (bar), Commanded boost pressure B (bar), Boost pressure sensor B (bar), Boost pressure A control status, Boost pressure B control status,Charge air cooler temperature bank 1  sensor 1 (°C),Charge air cooler temperature bank 1  sensor 2 (°C), Manifold surface temperature (°C), Intake manifold absolute pressure A (bar), Intake manifold absolute pressure B (bar),Total run time with EI-AECD #11 Timer 1 active (sec),Total run time with EI-AECD #11 Timer 2 active (sec),Total run time with EI-AECD #12 Timer 1 active (sec),Total run time with EI-AECD #12 Timer 2 active (sec), Diesel aftertreatment status,O2 sensor concentration bank 1 sensor 1 (%),O2 sensor concentration bank 1 sensor 2 (%),O2 sensor concentration bank 2 sensor 1 (%),O2 sensor concentration bank 2 sensor 2 (%), Absolute throttle position G (%),Target SCR Catalyst NH3 Storage A (g/L),Actual/Modelled SCR Catalyst NH3 Storage A (g/L),Target SCR Catalyst NH3 Storage B (g/L),Actual/Modelled SCR Catalyst NH3 Storage B (g/L), Hydrocarbon Doser Flow Rate (g/min), Hydrocarbon Doser Injector Duty Cycle (%),O2 sensor concentration bank 1 sensor 3 (%),O2 sensor concentration bank 1 sensor 4 (%),O2 sensor concentration bank 2 sensor 3 (%),O2 sensor concentration bank 2 sensor 4 (%),O2 sensor lambda bank 1 sensor 3,O2 sensor lambda bank 1 sensor 4,O2 sensor lambda bank 2 sensor 3,O2 sensor lambda bank 2 sensor 4, Engine Fuel Rate (g/s), Vehicle Fuel Rate (g/s), Engine Exhaust Flow Rate (g/s),Fuel System A Use Percentage Bank 1 (%),Fuel System A Use Percentage Bank 2 (%), Cylinder Fuel Rate, Transmission Actual Gear Status, Transmission Actual Gear Ratio, Vehicle Odometer Reading (km), Motorcycle ABS Disable Switch State, Maximum Current Vehicle Speed Limit (MPH), Alternative Fuel Tank Pressure (bar), Alternative Fuel Tank Temperature (°C),Crankcase Pressure Sensor (inH2O),Fuel System Status Bank 1,Fuel System Status Bank 2,Short Term Fuel Trim Bank 1 (%),Long Term Fuel Trim Bank 1 (%),Short Term Fuel Trim Bank 2 (%),Long Term Fuel Trim Bank 2 (%),O2 Sensor Concentration Bank 1 Sensor 5 (%),O2 Sensor Concentration Bank 1 Sensor 6 (%),O2 Sensor Concentration Bank 2 Sensor 5 (%),O2 Sensor Concentration Bank 2 Sensor 6 (%),O2 Sensor Lambda Bank 1 Sensor 5,O2 Sensor Lambda Bank 1 Sensor 6,O2 Sensor Lambda Bank 2 Sensor 5,O2 Sensor Lambda Bank 2 Sensor 6, Input voltage read by the scan tool (V), Acceleration (Avg) (m/s²), A/F Commanded, A/F Actual,Trip Distance (km), Trip Fuel (gal),Trip Fuel Economy (l/100 km),Trip Duration (min), Idling Count, Seconds Idling (sec)
0.000,0,0,0,-8.971878,2.419983,-19.1129,0,0,0,0,0,0,0,0,-0.0497328,0.3937925,-0.7615512,8.204478,-38.47683,-25.76708,5.786814,-15.22223,0,0,0,0,0,0,0,0,0,0,0,0,0,344.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.000,0,0,0,-10.75793,-0.4908142,-10.52213,0,0,0,0,0,0,0,0,-0.7216386,0.1039099,0.4842241,3.687364,-39.22325,-32.77496,3.754587,-9.132309,0,0,0,0,0,0,0,0,0,0,0,0,0,344.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.002,0,0,0,41.46913,8.234146,53.03123,0,0,0,0,0,0,0,0,-1.422015,-0.4106772,0.09400655,-3.214388,-39.23125,-32.59526,6.879522,-17.01747,0,0,0,0,0,0,0,0,0,0,0,0,0,344.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.001,0,0,0,23.2775,-11.67192,14.99574,82,82,-0.5889918,0,0,0,0,0,0.3104622,0.0706846,-0.422085,9.564381,-36.84307,-36.04601,12.86939,-17.53413,43.52941,1.01,999.5,25,18,0,19.60784,20.39216,0,12.99915,0.01,0,0,344.2,0,5.61655,428,59,4028,0.98,2.465864,2.226563,2.385344,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,13.06,0,0,0,0,0,0,0,0,0,52,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,-0.1004789,0,35.75503,0,0,0,0,1,5E-06
4.001,0,0,0,5.045929,15.48022,6.125763,82,82,-0.5889918,0,0,0,0,0,0.5755804,-0.1273501,0.1051782,15.99335,-34.52085,-25.37413,6.358665,-29.87714,43.52941,1.01,999.5,25,18,0,19.60784,20.39216,0,12.99915,0.01,0,0,344.2,0,5.61655,428,59,4028,0.98,2.465864,2.226563,2.385344,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,13.06,0,0,0,0,0,0,0,0,0,52,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,-0.1004789,0,35.75503,0,0,0,0,1,5E-06
5.003,3.728227,1.065121,6.040936,14.57875,26.38821,8.02655,82,82,0.2240641,3.210894,3.728227,0.002623517,477.4,0.7956668,-0.9590563,0.4819448,-0.4320549,8.72565,-39.43143,-30.31807,16.91132,-29.14377,21.96078,1.02,1001,25,18,0,14.90196,14.90196,0.6606291,12.92707,0.04,3.211036,476.9687,344.2,17.75201,5.618217,428,59,4028,0.98,2.745488,2.375,2.828936,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,13.06,0,0,0,0,0,0,0,0,0,52,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,-0.03401422,0,39.80957,0.005500396,0.0002577128,17.73597,0.08472987,1,1.723812
6.001,4.349598,0.7121928,6.041865,8.083313,21.75467,15.65649,82,82,0.3325841,1.866357,4.349598,0.003552737,273.6114,0.5320222,-1.175786,0.1105395,-0.1248368,4.995511,-38.12128,-32.19758,20.36599,-33.37833,55.68628,1.04,1151.5,25,18,0,28.23529,28.23529,0.8742586,15.16223,0.06,2.147058,400.4022,344.1,10.17418,5.618608,428,59,4028,0.98,1.741184,1.585938,1.589904,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,13.06,0,0,0,0,0,0,0,0,0,52,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,-0.004772956,0,25.24717,0.00887292,0.0003489918,14.88886,0.1148324,1,3.529972
7.001,4.349598,0.7121928,6.041865,-3.698623,13.93219,12.65826,82,82,0.3325841,1.866357,4.349598,0.003552737,273.6114,0.5320222,0.3509457,-0.1466112,0.03716591,4.169045,-38.01817,-30.69947,24.61244,-39.70001,55.68628,1.04,1151.5,25,18,0,28.23529,28.23529,0.8742586,15.16223,0.06,2.147058,400.4022,344.1,10.17418,5.618608,428,59,4028,0.98,1.741184,1.585938,1.589904,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,13.06,0,0,0,0,0,0,0,0,0,52,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,-0.004772956,0,25.24717,0.00887292,0.0003489918,14.88886,0.1148324,1,3.529972
8.001,6.835083,1.714644,6.04417,-3.860489,4.410156,-3.246185,82,82,0.3885601,4.410998,6.835083,0.005857883,419.1948,1.280873,-0.6533583,0.1412607,-0.3636075,1.04175,-35.43045,-29.82165,22.49321,-40.66028,58.82353,1.03,1173,25,18,0,27.84314,27.84314,0.7215826,15.29681,0.05,5.16916,407.4836,344,15.58766,5.619978,428,59,4028,0.97,1.61284,1.421875,1.625528,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,13.06,0,0,0,0,0,0,0,0,0,52,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0.05692366,0,23.38618,0.01437575,0.0005754306,15.15218,0.144916,1,5.334984
9.001,6.835083,1.714644,6.04417,-16.34541,3.742005,14.41464,82,82,0.3885601,4.410998,6.835083,0.005857883,419.1948,1.280873,0.05463114,-0.2001846,-0.7146147,0.5434548,-36.17439,-28.21122,24.63193,-42.30644,58.82353,1.03,1173,25,18,0,27.84314,27.84314,0.7215826,15.29681,0.05,5.16916,407.4836,344,15.58766,5.619978,428,59,4028,0.97,1.61284,1.421875,1.625528,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,13.06,0,0,0,0,0,0,0,0,0,52,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0.05692366,0,23.38618,0.01437575,0.0005754306,15.15218,0.144916,1,5.334984
