Time (sec),Vehicle speed (MPH),Fuel rate (l/hr),Total CO2 (kg), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Engine coolant temperature (°C),Engine coolant temperature 1 (°C),Acceleration (m/s²),Engine Torque (kg•m),Max Speed (MPH),Total Trip CO2 (kg),Instant CO2 rate (g/km),CO2 flow (g/s), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Roll (deg), Pitch (deg),Magnetometer X (µT), Magnetometer Y (µT), Magnetometer Z (µT),Calculated load value (%), Intake manifold absolute pressure (bar), Engine RPM (RPM), Intake air temperature (°C), Ambient air temperature (°C), Absolute throttle position B (%), Accelerator pedal position D (%), Accelerator pedal position E (%), Intake manifold absolute pressure (bar), Mass air flow rate (g/s), Boost (bar),Engine Power (kW),Average Trip CO2 Rate (g/km),Altitude (m),Instant fuel economy (l/100 km),Total fuel economy (l/100 km), Time since engine start (sec), Number of warm-ups since DTCs cleared, Distance traveled since DTCs cleared (km), Barometric pressure (bar),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 1),O2 sensor current wide range (Bank 1  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 2),O2 sensor current wide range (Bank 1  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 3),O2 sensor current wide range (Bank 1  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 4),O2 sensor current wide range (Bank 1  Sensor 4) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 1),O2 sensor current wide range (Bank 2  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 2),O2 sensor current wide range (Bank 2  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 3),O2 sensor current wide range (Bank 2  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 4),O2 sensor current wide range (Bank 2  Sensor 4) (mA), Control module voltage (V), Absolute throttle position C (%), Mass air flow sensor B (g/s), Relative throttle B position (%), Commanded boost pressure A (bar), Boost pressure sensor A (bar), Commanded boost pressure B (bar), Boost pressure sensor B (bar), Boost pressure A control status, Boost pressure B control status,Charge air cooler temperature bank 1  sensor 1 (°C),Charge air cooler temperature bank 1  sensor 2 (°C), Manifold surface temperature (°C), Intake manifold absolute pressure A (bar), Intake manifold absolute pressure B (bar),Total run time with EI-AECD #11 Timer 1 active (sec),Total run time with EI-AECD #11 Timer 2 active (sec),Total run time with EI-AECD #12 Timer 1 active (sec),Total run time with EI-AECD #12 Timer 2 active (sec), Diesel aftertreatment status,O2 sensor concentration bank 1 sensor 1 (%),O2 sensor concentration bank 1 sensor 2 (%),O2 sensor concentration bank 2 sensor 1 (%),O2 sensor concentration bank 2 sensor 2 (%), Absolute throttle position G (%),Target SCR Catalyst NH3 Storage A (g/L),Actual/Modelled SCR Catalyst NH3 Storage A (g/L),Target SCR Catalyst NH3 Storage B (g/L),Actual/Modelled SCR Catalyst NH3 Storage B (g/L), Hydrocarbon Doser Flow Rate (g/min), Hydrocarbon Doser Injector Duty Cycle (%),O2 sensor concentration bank 1 sensor 3 (%),O2 sensor concentration bank 1 sensor 4 (%),O2 sensor concentration bank 2 sensor 3 (%),O2 sensor concentration bank 2 sensor 4 (%),O2 sensor lambda bank 1 sensor 3,O2 sensor lambda bank 1 sensor 4,O2 sensor lambda bank 2 sensor 3,O2 sensor lambda bank 2 sensor 4, Engine Fuel Rate (g/s), Vehicle Fuel Rate (g/s), Engine Exhaust Flow Rate (g/s),Fuel System A Use Percentage Bank 1 (%),Fuel System A Use Percentage Bank 2 (%), Cylinder Fuel Rate, Transmission Actual Gear Status, Transmission Actual Gear Ratio, Vehicle Odometer Reading (km), Motorcycle ABS Disable Switch State, Maximum Current Vehicle Speed Limit (MPH), Alternative Fuel Tank Pressure (bar), Alternative Fuel Tank Temperature (°C),Crankcase Pressure Sensor (inH2O),Fuel System Status Bank 1,Fuel System Status Bank 2,Short Term Fuel Trim Bank 1 (%),Long Term Fuel Trim Bank 1 (%),Short Term Fuel Trim Bank 2 (%),Long Term Fuel Trim Bank 2 (%),O2 Sensor Concentration Bank 1 Sensor 5 (%),O2 Sensor Concentration Bank 1 Sensor 6 (%),O2 Sensor Concentration Bank 2 Sensor 5 (%),O2 Sensor Concentration Bank 2 Sensor 6 (%),O2 Sensor Lambda Bank 1 Sensor 5,O2 Sensor Lambda Bank 1 Sensor 6,O2 Sensor Lambda Bank 2 Sensor 5,O2 Sensor Lambda Bank 2 Sensor 6, Input voltage read by the scan tool (V), Acceleration (Avg) (m/s²), A/F Commanded, A/F Actual,Trip Distance (km), Trip Fuel (gal),Trip Fuel Economy (l/100 km),Trip Duration (min), Idling Count, Seconds Idling (sec)
0.000,0,0,0,-2.985947,-3.144394,-1.063126,0,0,0,0,0,0,0,0,-0.02724499,1.986506,3.534219,-2.530467,-59.08125,-9.650177,-25.12897,-5.873993,0,0,0,0,0,0,0,0,0,0,0,0,0,344.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999,0,0,0,-5.7798,-17.7585,1.740982,0,0,0,0,0,0,0,0,-1.218096,1.389524,1.155238,-9.844643,-55.09222,-8.113045,-25.0264,-5.885651,0,0,0,0,0,0,0,0,0,0,0,0,0,344.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.000,0,0,0,-11.58853,-4.220688,-2.949219,0,0,0,0,0,0,0,0,-0.2454232,0.3662527,0.1622227,-8.568158,-58.12843,-8.182274,-24.39732,-7.3647,0,0,0,0,0,0,0,0,0,0,0,0,0,344.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.000,0,0,0,41.0809,55.43025,-19.35445,59,59,0,0,0,0,0,0,-1.458995,0.4160805,-0.7616261,-22.26959,-49.01618,0.8667679,-26.80572,-3.900574,31.76471,0.97,750,25,25,0,14.90196,14.90196,0,9.367931,-0.03,0,0,344.9,0,5.34775,570,70,4169,0.97,2.083272,1.890625,3.070984,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,41,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,30.20744,0,0,0,0,1,6E-06
4.000,0,0,0,8.254425,14.04732,-4.366928,59,59,0,0,0,0,0,0,1.381619,-0.892248,1.186907,-3.357451,-64.76589,-9.04908,-23.19987,-11.07208,31.76471,0.97,750,25,25,0,14.90196,14.90196,0,9.367931,-0.03,0,0,344.9,0,5.34775,570,70,4169,0.97,2.083272,1.890625,3.070984,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,41,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,30.20744,0,0,0,0,1,6E-06
5.000,0,0.6089703,11.88435,13.23392,61.38725,85.76834,59,59,0,2.450168,0,0.001517782,0,0.4549129,-2.601955,1.273427,0.5558177,-5.746691,-55.67035,-11.83393,-23.95636,-0.009353638,31.37255,0.97,750,25,25,0,14.90196,14.90196,0.6897858,9.21083,0,1.835871,0,344.9,0,5.348433,570,70,4169,0.97,2.1228,1.9375,3.038776,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,41,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,30.7806,0,0.0001490945,0,0.08749612,1,1.711229
6.003,0,0.6089703,11.88435,7.684906,-11.42383,3.369156,59,59,0,2.450168,0,0.001517782,0,0.4549129,-0.52982,0.8072634,-0.7405364,-1.817705,-51.56791,-31.36938,-8.437401,3.643158,31.37255,0.97,750,25,25,0,14.90196,14.90196,0.6897858,9.21083,0,1.835871,0,344.9,0,5.348433,570,70,4169,0.97,2.1228,1.9375,3.038776,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,41,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,30.7806,0,0.0001490945,0,0.08749612,1,1.711229
7.001,0,0.6042069,11.88514,6.400558,9.701248,-6.216553,59,59,0,2.427766,0,0.002305469,0,0.4513545,0.3256328,0.3806403,0.1499265,-2.673028,-49.46691,-28.34006,-10.52528,3.886444,31.37255,0.97,751,25,25,0,14.90196,14.90196,0.6929452,9.223111,0,1.821511,0,344.9,0,5.348787,570,70,4169,0.97,2.148664,1.953125,3.079768,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,41,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,31.15563,0,0.0002264705,0,0.1176829,1,3.522237
8.001,0,0.6216536,11.88598,-2.656372,-2.792404,-0.1737061,59,59,0,2.499532,0,0.003140806,0,0.4643876,-0.2683675,0.439063,-0.4497575,-3.948286,-47.13776,-26.66892,-11.04539,3.437698,31.37255,0.97,750.5,25,25,0,14.90196,14.90196,0.7120048,9.21697,0,1.874108,0,344.9,0,5.349164,570,70,4169,0.97,2.162328,1.96875,3.041216,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,41,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,31.35376,0,0.0003085271,0,0.1467361,1,5.26524
9.002,0,0.6216536,11.88598,18.56715,26.5186,-6.516983,59,59,0,2.499532,0,0.003140806,0,0.4643876,-0.5227163,0.2629399,-0.4994897,-6.218455,-45.41793,-25.23705,-12.0166,2.866379,31.37255,0.97,750.5,25,25,0,14.90196,14.90196,0.7120048,9.21697,0,1.874108,0,344.9,0,5.349164,570,70,4169,0.97,2.162328,1.96875,3.041216,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,41,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,31.35376,0,0.0003085271,0,0.1467361,1,5.26524
10.002,0,0.6372638,11.88681,4.761551,6.947571,14.52252,59,59,0,2.555488,0,0.003970321,0,0.4760487,0.4544257,-0.02613284,0.007768766,-2.60135,-47.60802,-27.24521,-10.38122,4.036316,30.98039,0.97,752.5,25,25,0,14.90196,14.90196,0.7303702,9.241532,0,1.921168,0,344.9,0,5.349536,570,70,4169,0.97,2.129632,1.9375,3.045608,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,41,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,30.87966,0,0.0003900119,0,0.1822218,1,7.394329
11.002,0,0.6372638,11.88681,-11.31757,2.187225,-10.20325,59,59,0,2.555488,0,0.003970321,0,0.4760487,0.3386194,0.09492263,-0.2784228,-0.3776154,-47.95379,-37.0372,7.021385,-1.204712,30.98039,0.97,752.5,25,25,0,14.90196,14.90196,0.7303702,9.241532,0,1.921168,0,344.9,0,5.349536,570,70,4169,0.97,2.129632,1.9375,3.045608,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,41,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,30.87966,0,0.0003900119,0,0.1822218,1,7.394329
12.003,0,0.6011882,11.88776,13.78244,9.573135,14.92545,59,59,0,2.417245,0,0.004925076,0,0.4490995,-0.2046928,0.1271571,-0.1008485,-0.43669,-47.01329,-36.37132,7.490925,-1.254379,30.98039,0.97,750.5,25,25,0,14.90196,14.90196,0.6958911,9.21697,0,1.81241,0,344.9,0,5.349967,570,70,4169,0.97,2.133048,1.9375,3.0012,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,41,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,30.9292,0,0.0004837992,0,0.2113283,1,9.140702
