Time (sec),Vehicle speed (MPH),Fuel rate (l/hr),Total CO2 (kg), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Engine coolant temperature (°C),Engine coolant temperature 1 (°C),Acceleration (m/s²),Engine Torque (kg•m),Max Speed (MPH),Total Trip CO2 (kg),Instant CO2 rate (g/km),CO2 flow (g/s), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Roll (deg), Pitch (deg),Magnetometer X (µT), Magnetometer Y (µT), Magnetometer Z (µT),Calculated load value (%), Intake manifold absolute pressure (bar), Engine RPM (RPM), Intake air temperature (°C), Ambient air temperature (°C), Absolute throttle position B (%), Accelerator pedal position D (%), Accelerator pedal position E (%), Intake manifold absolute pressure (bar), Mass air flow rate (g/s), Boost (bar),Engine Power (kW),Average Trip CO2 Rate (g/km),Altitude (m),Instant fuel economy (l/100 km),Total fuel economy (l/100 km), Time since engine start (sec), Number of warm-ups since DTCs cleared, Distance traveled since DTCs cleared (km), Barometric pressure (bar),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 1),O2 sensor current wide range (Bank 1  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 2),O2 sensor current wide range (Bank 1  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 3),O2 sensor current wide range (Bank 1  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 4),O2 sensor current wide range (Bank 1  Sensor 4) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 1),O2 sensor current wide range (Bank 2  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 2),O2 sensor current wide range (Bank 2  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 3),O2 sensor current wide range (Bank 2  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 4),O2 sensor current wide range (Bank 2  Sensor 4) (mA), Control module voltage (V), Absolute throttle position C (%), Mass air flow sensor B (g/s), Relative throttle B position (%), Commanded boost pressure A (bar), Boost pressure sensor A (bar), Commanded boost pressure B (bar), Boost pressure sensor B (bar), Boost pressure A control status, Boost pressure B control status,Charge air cooler temperature bank 1  sensor 1 (°C),Charge air cooler temperature bank 1  sensor 2 (°C), Manifold surface temperature (°C), Intake manifold absolute pressure A (bar), Intake manifold absolute pressure B (bar),Total run time with EI-AECD #11 Timer 1 active (sec),Total run time with EI-AECD #11 Timer 2 active (sec),Total run time with EI-AECD #12 Timer 1 active (sec),Total run time with EI-AECD #12 Timer 2 active (sec), Diesel aftertreatment status,O2 sensor concentration bank 1 sensor 1 (%),O2 sensor concentration bank 1 sensor 2 (%),O2 sensor concentration bank 2 sensor 1 (%),O2 sensor concentration bank 2 sensor 2 (%), Absolute throttle position G (%),Target SCR Catalyst NH3 Storage A (g/L),Actual/Modelled SCR Catalyst NH3 Storage A (g/L),Target SCR Catalyst NH3 Storage B (g/L),Actual/Modelled SCR Catalyst NH3 Storage B (g/L), Hydrocarbon Doser Flow Rate (g/min), Hydrocarbon Doser Injector Duty Cycle (%),O2 sensor concentration bank 1 sensor 3 (%),O2 sensor concentration bank 1 sensor 4 (%),O2 sensor concentration bank 2 sensor 3 (%),O2 sensor concentration bank 2 sensor 4 (%),O2 sensor lambda bank 1 sensor 3,O2 sensor lambda bank 1 sensor 4,O2 sensor lambda bank 2 sensor 3,O2 sensor lambda bank 2 sensor 4, Engine Fuel Rate (g/s), Vehicle Fuel Rate (g/s), Engine Exhaust Flow Rate (g/s),Fuel System A Use Percentage Bank 1 (%),Fuel System A Use Percentage Bank 2 (%), Cylinder Fuel Rate, Transmission Actual Gear Status, Transmission Actual Gear Ratio, Vehicle Odometer Reading (km), Motorcycle ABS Disable Switch State, Maximum Current Vehicle Speed Limit (MPH), Alternative Fuel Tank Pressure (bar), Alternative Fuel Tank Temperature (°C),Crankcase Pressure Sensor (inH2O),Fuel System Status Bank 1,Fuel System Status Bank 2,Short Term Fuel Trim Bank 1 (%),Long Term Fuel Trim Bank 1 (%),Short Term Fuel Trim Bank 2 (%),Long Term Fuel Trim Bank 2 (%),O2 Sensor Concentration Bank 1 Sensor 5 (%),O2 Sensor Concentration Bank 1 Sensor 6 (%),O2 Sensor Concentration Bank 2 Sensor 5 (%),O2 Sensor Concentration Bank 2 Sensor 6 (%),O2 Sensor Lambda Bank 1 Sensor 5,O2 Sensor Lambda Bank 1 Sensor 6,O2 Sensor Lambda Bank 2 Sensor 5,O2 Sensor Lambda Bank 2 Sensor 6, Input voltage read by the scan tool (V), Acceleration (Avg) (m/s²), A/F Commanded, A/F Actual,Trip Distance (km), Trip Fuel (gal),Trip Fuel Economy (l/100 km),Trip Duration (min), Idling Count, Seconds Idling (sec)
0.000,0,0,0,25.70985,20.02083,-30.08568,0,0,0,0,0,0,0,0,-0.1151716,1.96826,3.444193,-4.766974,-54.03152,-60.05141,-67.24577,114.9731,0,0,0,0,0,0,0,0,0,0,0,0,0,340.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999,0,0,0,-43.4648,-10.23442,-20.82695,0,0,0,0,0,0,0,0,-0.9241489,1.16957,0.9135481,-14.69564,-41.71034,-63.45646,-67.76497,129.9287,0,0,0,0,0,0,0,0,0,0,0,0,0,340.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.999,0,0,0,-3.678864,-11.44235,3.4086,0,0,0,0,0,0,0,0,0.8968754,-0.938927,1.242498,-5.100876,-60.2886,-64.50349,-69.48756,116.7273,0,0,0,0,0,0,0,0,0,0,0,0,0,340.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.999,0,0,0,58.08184,-17.16982,4.485733,87,87,0,0,0,0,0,0,1.174771,1.375313,-1.49311,4.54636,-38.27118,-76.39165,-55.15754,133.1963,35.68628,0.93,751,13,32,0,14.90196,14.90196,0,8.9936,-0.07,0,0,340.2,0,5.600845,14,77,4337,0.97,2.888472,-0.00390625,2.882616,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,61,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,41.88284,0,0,0,0,1,7E-06
3.999,0,0,0,-3.549393,11.98778,1.56929,87,87,0,0,0,0,0,0,0.5766864,1.398763,-1.667334,3.492335,-27.90797,-76.22221,-49.50248,137.0091,35.68628,0.93,751,13,32,0,14.90196,14.90196,0,8.9936,-0.07,0,0,340.2,0,5.600845,14,77,4337,0.97,2.888472,-0.00390625,2.882616,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,61,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,41.88284,0,0,0,0,1,7E-06
4.999,0,0.7687569,25.12025,-32.71582,8.100235,5.331909,87,87,0,2.485053,0,0.001803312,0,0.5742766,-0.4726949,-0.1807801,0.3992173,4.237922,-35.98642,-82.07482,-57.07788,138.5797,53.33333,0.97,933.5,13,32,0,23.92157,23.92157,0.7429012,11.94519,0,2.317582,0,340.1,0,5.601247,14,77,4337,0.97,2.304824,-0.00390625,2.255048,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,61,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,33.41995,0,0.0001771426,0,0.08480525,1,1.725982
5.999,1.864114,1.595363,25.12233,-56.43057,-7.090897,-16.82014,87,87,0.239009,4.249039,1.864114,0.003881378,1430.122,1.191768,0.5608698,-1.174644,2.982208,5.632243,-43.67464,-85.82224,-55.82571,124.5403,51.37255,1.06,1133,13,32,0,27.45098,27.45098,0.8299076,15.84319,0.09,4.809564,2671.73,340.1,53.17874,5.601662,14,77,4337,0.97,1.550864,-0.00390625,1.62992,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,61,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0.0478018,0,22.48753,0.001452758,0.0003812748,99.34767,0.114588,1,3.512382
6.999,1.864114,1.595363,25.12233,16.45377,13.36708,1.091736,87,87,0.239009,4.249039,1.864114,0.003881378,1430.122,1.191768,0.1391913,-0.9724304,1.086911,2.402564,-49.36644,-85.60947,-57.47087,118.4726,51.37255,1.06,1133,13,32,0,27.45098,27.45098,0.8299076,15.84319,0.09,4.809564,2671.73,340,53.17874,5.601662,14,77,4337,0.97,1.550864,-0.00390625,1.62992,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,61,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0.0478018,0,22.48753,0.001452758,0.0003812748,99.34767,0.114588,1,3.512382
8.001,4.97097,1.339735,25.12413,-12.37004,8.872726,6.533234,87,87,0.6264719,3.963507,4.97097,0.005686668,450.3638,1.000808,-0.1559263,0.329298,-0.2539586,2.664186,-46.02641,-87.02625,-53.2224,119.5342,32.15686,1.03,1020,13,32,0,14.90196,14.90196,0.59613,13.85939,0.06,4.038917,1046.186,340.1,16.74667,5.601931,14,77,4337,0.97,2.399496,-0.00390625,2.375584,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,61,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0.1252944,0,34.79269,0.005435617,0.0005586118,38.90219,0.1437309,1,5.260969
8.999,4.97097,1.339735,25.12413,-10.18098,16.871,15.78133,87,87,0.6264719,3.963507,4.97097,0.005686668,450.3638,1.000808,-0.2776308,1.058446,-1.325717,3.704481,-41.08012,-89.83427,-48.33943,119.2938,32.15686,1.03,1020,13,32,0,14.90196,14.90196,0.59613,13.85939,0.06,4.038917,1046.186,340.1,16.74667,5.601931,14,77,4337,0.97,2.399496,-0.00390625,2.375584,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,61,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0.1252944,0,34.79269,0.005435617,0.0005586118,38.90219,0.1437309,1,5.260969
