Time (sec),Vehicle speed (MPH),Fuel rate (l/hr),Total CO2 (kg), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s),Engine coolant temperature (°C),Engine coolant temperature 1 (°C),Acceleration (m/s²),Engine Torque (kg•m),Max Speed (MPH),Total Trip CO2 (kg),Instant CO2 rate (g/km),CO2 flow (g/s), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Roll (deg), Pitch (deg),Magnetometer X (µT), Magnetometer Y (µT), Magnetometer Z (µT),Calculated load value (%), Intake manifold absolute pressure (bar), Engine RPM (RPM), Intake air temperature (°C), Ambient air temperature (°C), Absolute throttle position B (%), Accelerator pedal position D (%), Accelerator pedal position E (%), Intake manifold absolute pressure (bar), Mass air flow rate (g/s), Boost (bar),Engine Power (kW),Average Trip CO2 Rate (g/km),Altitude (m),Instant fuel economy (l/100 km),Total fuel economy (l/100 km), Time since engine start (sec), Number of warm-ups since DTCs cleared, Distance traveled since DTCs cleared (km), Barometric pressure (bar),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 1),O2 sensor current wide range (Bank 1  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 2),O2 sensor current wide range (Bank 1  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 3),O2 sensor current wide range (Bank 1  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 4),O2 sensor current wide range (Bank 1  Sensor 4) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 1),O2 sensor current wide range (Bank 2  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 2),O2 sensor current wide range (Bank 2  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 3),O2 sensor current wide range (Bank 2  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 4),O2 sensor current wide range (Bank 2  Sensor 4) (mA), Control module voltage (V), Absolute throttle position C (%), Mass air flow sensor B (g/s), Relative throttle B position (%), Commanded boost pressure A (bar), Boost pressure sensor A (bar), Commanded boost pressure B (bar), Boost pressure sensor B (bar), Boost pressure A control status, Boost pressure B control status,Charge air cooler temperature bank 1  sensor 1 (°C),Charge air cooler temperature bank 1  sensor 2 (°C), Manifold surface temperature (°C), Intake manifold absolute pressure A (bar), Intake manifold absolute pressure B (bar),Total run time with EI-AECD #11 Timer 1 active (sec),Total run time with EI-AECD #11 Timer 2 active (sec),Total run time with EI-AECD #12 Timer 1 active (sec),Total run time with EI-AECD #12 Timer 2 active (sec), Diesel aftertreatment status,O2 sensor concentration bank 1 sensor 1 (%),O2 sensor concentration bank 1 sensor 2 (%),O2 sensor concentration bank 2 sensor 1 (%),O2 sensor concentration bank 2 sensor 2 (%), Absolute throttle position G (%),Target SCR Catalyst NH3 Storage A (g/L),Actual/Modelled SCR Catalyst NH3 Storage A (g/L),Target SCR Catalyst NH3 Storage B (g/L),Actual/Modelled SCR Catalyst NH3 Storage B (g/L), Hydrocarbon Doser Flow Rate (g/min), Hydrocarbon Doser Injector Duty Cycle (%),O2 sensor concentration bank 1 sensor 3 (%),O2 sensor concentration bank 1 sensor 4 (%),O2 sensor concentration bank 2 sensor 3 (%),O2 sensor concentration bank 2 sensor 4 (%),O2 sensor lambda bank 1 sensor 3,O2 sensor lambda bank 1 sensor 4,O2 sensor lambda bank 2 sensor 3,O2 sensor lambda bank 2 sensor 4, Engine Fuel Rate (g/s), Vehicle Fuel Rate (g/s), Engine Exhaust Flow Rate (g/s),Fuel System A Use Percentage Bank 1 (%),Fuel System A Use Percentage Bank 2 (%), Cylinder Fuel Rate, Transmission Actual Gear Status, Transmission Actual Gear Ratio, Vehicle Odometer Reading (km), Motorcycle ABS Disable Switch State, Maximum Current Vehicle Speed Limit (MPH), Alternative Fuel Tank Pressure (bar), Alternative Fuel Tank Temperature (°C),Crankcase Pressure Sensor (inH2O),Fuel System Status Bank 1,Fuel System Status Bank 2,Short Term Fuel Trim Bank 1 (%),Long Term Fuel Trim Bank 1 (%),Short Term Fuel Trim Bank 2 (%),Long Term Fuel Trim Bank 2 (%),O2 Sensor Concentration Bank 1 Sensor 5 (%),O2 Sensor Concentration Bank 1 Sensor 6 (%),O2 Sensor Concentration Bank 2 Sensor 5 (%),O2 Sensor Concentration Bank 2 Sensor 6 (%),O2 Sensor Lambda Bank 1 Sensor 5,O2 Sensor Lambda Bank 1 Sensor 6,O2 Sensor Lambda Bank 2 Sensor 5,O2 Sensor Lambda Bank 2 Sensor 6, Input voltage read by the scan tool (V), Acceleration (Avg) (m/s²), A/F Commanded, A/F Actual,Trip Distance (km), Trip Fuel (gal),Trip Fuel Economy (l/100 km),Trip Duration (min), Idling Count, Seconds Idling (sec)
0.000,0,0,0,0.08171082,3.855759,-2.278412,0,0,0,0,0,0,0,0,0.2780745,2.403679,1.893979,2.857076,-45.63991,-33.63382,6.393877,-13.17461,0,0,0,0,0,0,0,0,0,0,0,0,0,343.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.000,0,0,0,-1.118668,2.439941,1.730804,0,0,0,0,0,0,0,0,0.320842,0.7790756,1.331692,4.448107,-47.56907,-33.30117,10.79103,-15.80869,0,0,0,0,0,0,0,0,0,0,0,0,0,343.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.998,0,0,0,11.99034,14.77225,-3.825042,0,0,0,0,0,0,0,0,-1.141048,0.6095034,-0.1710199,-1.708249,-43.78633,-34.93595,6.062946,-17.64491,0,0,0,0,0,0,0,0,0,0,0,0,0,343.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.998,0,0,0,8.614548,8.64386,-1.168762,41,42,0,0,0,0,0,0,0.3273613,0.7086844,-1.510443,3.173903,-44.25661,-23.75611,13.21112,-26.84389,40,0.97,1090,22,22,0,14.90196,14.90196,0,13.61473,-0.03,0,0,343.8,0,5.454882,51,78,4543,0.97,2.120848,-0.00390625,1.820728,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,30.7523,0,0,0,0,1,5E-06
4.000,0,0,0,-8.026047,-4.708282,9.446594,41,42,0,0,0,0,0,0,-0.01501442,0.4995618,0.0832881,1.939533,-44.07584,-22.77451,12.46375,-32.90538,40,0.97,1090,22,22,0,14.90196,14.90196,0,13.61473,-0.03,0,0,343.9,0,5.454882,51,78,4543,0.97,2.120848,-0.00390625,1.820728,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,30.7523,0,0,0,0,1,5E-06
4.998,0,1.228133,27.53077,-21.49677,-24.51353,7.174896,41,42,0,3.08577,0,0.002917232,0,0.9174399,-1.05159,-0.02080347,0.736218,0.6295199,-41.99047,-22.60109,10.85618,-30.01382,69.01961,0.98,1201,22,22,0,32.94118,33.33333,0.7524735,15.05313,0.01,3.70247,0,343.9,0,5.45546,51,78,4543,0.97,1.42008,-0.00390625,1.39324,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,20.59116,0,0.000286565,0,0.08577817,1,1.783085
5.998,3.106856,2.620128,27.53423,-5.082794,-21.79149,11.33328,41,42,0.3922846,5.798669,3.106856,0.0063737,1409.247,1.957287,0.4767035,0.3028283,0.09364294,2.944851,-41.93851,-30.35849,21.17429,-29.38049,70.19608,1.06,1363.5,22,22,0,14.90196,14.90196,0.8443824,18.48497,0.09,7.898934,2592.316,344,52.40252,5.456073,51,78,4543,0.97,2.37168,-0.00390625,2.294576,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0.07845692,0,34.38936,0.00245869,0.0006261002,96.39465,0.1155543,1,3.569087
7.002,3.106856,2.620128,27.53423,-17.76135,8.781662,4.705109,41,42,0.3922846,5.798669,3.106856,0.0063737,1409.247,1.957287,1.352921,0.9307412,-1.234457,13.16493,-34.66569,-25.75159,-4.893429,-50.54105,70.19608,1.06,1363.5,22,22,0,14.90196,14.90196,0.8443824,18.48497,0.09,7.898934,2592.316,344,52.40252,5.456073,51,78,4543,0.97,2.37168,-0.00390625,2.294576,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0.07845692,0,34.38936,0.00245869,0.0006261002,96.39465,0.1155543,1,3.569087
8.001,4.97097,1.362186,27.53606,-0.5014648,11.82845,15.37544,41,42,0.6234652,4.133259,4.97097,0.008212673,457.9109,1.01758,0.2767525,-0.3871386,-0.2261908,9.127476,-45.87334,-28.78735,18.97465,-51.3103,37.64706,0.99,994.5,22,22,0,27.45098,27.45098,0.3801899,12.59209,0.02,4.1066,1270.546,344,17.02731,5.456321,51,78,4543,0.97,1.522072,-0.00390625,1.499624,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0.124693,0,22.07004,0.006463896,0.0008067459,47.24494,0.1446534,1,5.315034
9.002,4.97097,1.362186,27.53606,5.177902,36.72458,-2.195328,41,42,0.6234652,4.133259,4.97097,0.008212673,457.9109,1.01758,-0.5478761,-0.003288507,0.6259521,5.274259,-43.38651,-28.81273,30.3538,-49.35971,37.64706,0.99,994.5,22,22,0,27.45098,27.45098,0.3801899,12.59209,0.02,4.1066,1270.546,343.9,17.02731,5.456321,51,78,4543,0.97,1.522072,-0.00390625,1.499624,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0.124693,0,22.07004,0.006463896,0.0008067459,47.24494,0.1446534,1,5.315034
