Time (sec),Vehicle speed (MPH),Fuel rate (l/hr),Total CO2 (kg), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Engine coolant temperature (°C),Engine coolant temperature 1 (°C),Acceleration (m/s²),Engine Torque (kg•m),Max Speed (MPH),Total Trip CO2 (kg),Instant CO2 rate (g/km),CO2 flow (g/s), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Roll (deg), Pitch (deg),Magnetometer X (µT), Magnetometer Y (µT), Magnetometer Z (µT),Calculated load value (%), Intake manifold absolute pressure (bar), Engine RPM (RPM), Intake air temperature (°C), Ambient air temperature (°C), Absolute throttle position B (%), Accelerator pedal position D (%), Accelerator pedal position E (%), Intake manifold absolute pressure (bar), Mass air flow rate (g/s), Boost (bar),Engine Power (kW),Average Trip CO2 Rate (g/km),Altitude (m),Instant fuel economy (l/100 km),Total fuel economy (l/100 km), Time since engine start (sec), Number of warm-ups since DTCs cleared, Distance traveled since DTCs cleared (km), Barometric pressure (bar),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 1),O2 sensor current wide range (Bank 1  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 2),O2 sensor current wide range (Bank 1  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 3),O2 sensor current wide range (Bank 1  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 4),O2 sensor current wide range (Bank 1  Sensor 4) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 1),O2 sensor current wide range (Bank 2  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 2),O2 sensor current wide range (Bank 2  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 3),O2 sensor current wide range (Bank 2  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 4),O2 sensor current wide range (Bank 2  Sensor 4) (mA), Control module voltage (V), Absolute throttle position C (%), Mass air flow sensor B (g/s), Relative throttle B position (%), Commanded boost pressure A (bar), Boost pressure sensor A (bar), Commanded boost pressure B (bar), Boost pressure sensor B (bar), Boost pressure A control status, Boost pressure B control status,Charge air cooler temperature bank 1  sensor 1 (°C),Charge air cooler temperature bank 1  sensor 2 (°C), Manifold surface temperature (°C), Intake manifold absolute pressure A (bar), Intake manifold absolute pressure B (bar),Total run time with EI-AECD #11 Timer 1 active (sec),Total run time with EI-AECD #11 Timer 2 active (sec),Total run time with EI-AECD #12 Timer 1 active (sec),Total run time with EI-AECD #12 Timer 2 active (sec), Diesel aftertreatment status,O2 sensor concentration bank 1 sensor 1 (%),O2 sensor concentration bank 1 sensor 2 (%),O2 sensor concentration bank 2 sensor 1 (%),O2 sensor concentration bank 2 sensor 2 (%), Absolute throttle position G (%),Target SCR Catalyst NH3 Storage A (g/L),Actual/Modelled SCR Catalyst NH3 Storage A (g/L),Target SCR Catalyst NH3 Storage B (g/L),Actual/Modelled SCR Catalyst NH3 Storage B (g/L), Hydrocarbon Doser Flow Rate (g/min), Hydrocarbon Doser Injector Duty Cycle (%),O2 sensor concentration bank 1 sensor 3 (%),O2 sensor concentration bank 1 sensor 4 (%),O2 sensor concentration bank 2 sensor 3 (%),O2 sensor concentration bank 2 sensor 4 (%),O2 sensor lambda bank 1 sensor 3,O2 sensor lambda bank 1 sensor 4,O2 sensor lambda bank 2 sensor 3,O2 sensor lambda bank 2 sensor 4, Engine Fuel Rate (g/s), Vehicle Fuel Rate (g/s), Engine Exhaust Flow Rate (g/s),Fuel System A Use Percentage Bank 1 (%),Fuel System A Use Percentage Bank 2 (%), Cylinder Fuel Rate, Transmission Actual Gear Status, Transmission Actual Gear Ratio, Vehicle Odometer Reading (km), Motorcycle ABS Disable Switch State, Maximum Current Vehicle Speed Limit (MPH), Alternative Fuel Tank Pressure (bar), Alternative Fuel Tank Temperature (°C),Crankcase Pressure Sensor (inH2O),Fuel System Status Bank 1,Fuel System Status Bank 2,Short Term Fuel Trim Bank 1 (%),Long Term Fuel Trim Bank 1 (%),Short Term Fuel Trim Bank 2 (%),Long Term Fuel Trim Bank 2 (%),O2 Sensor Concentration Bank 1 Sensor 5 (%),O2 Sensor Concentration Bank 1 Sensor 6 (%),O2 Sensor Concentration Bank 2 Sensor 5 (%),O2 Sensor Concentration Bank 2 Sensor 6 (%),O2 Sensor Lambda Bank 1 Sensor 5,O2 Sensor Lambda Bank 1 Sensor 6,O2 Sensor Lambda Bank 2 Sensor 5,O2 Sensor Lambda Bank 2 Sensor 6, Input voltage read by the scan tool (V), Acceleration (Avg) (m/s²), A/F Commanded, A/F Actual,Trip Distance (km), Trip Fuel (gal),Trip Fuel Economy (l/100 km),Trip Duration (min), Idling Count, Seconds Idling (sec)
0.000,0,0,0,7.249863,18.71809,0.9056854,0,0,0,0,0,0,0,0,0.5175782,-0.8525741,1.642053,3.070497,-71.44958,-6.983017,-40.36132,-19.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.000,0,0,0,32.42026,56.88448,7.236511,0,0,0,0,0,0,0,0,0.8547403,0.3145569,0.4146881,7.80247,-75.76187,-12.18935,-34.60158,-22.27512,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.000,0,0,0,75.26199,26.2392,-10.2252,0,0,0,0,0,0,0,0,0.7204547,-1.022313,2.51971,6.379097,-87.2111,-11.19814,-26.67493,-28.12077,0,0,0,0,0,0,0,0,0,0,0,0,0,342.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.000,0,0,0,0.3281097,3.500534,-1.073013,77,78,-0.1239013,2.057974,0,0,0,0,-1.016093,0.9501218,0.07869779,-7.292193,-66.19514,-3.788048,-38.79006,-14.79028,28.62745,0.98,751,35,19,0,14.90196,14.90196,0,9.477127,-0.02,0,0,342.8,0,5.473001,232,73,4221,0.97,2.360456,2.132813,3.2696,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.96,0,0,0,0,0,0,0,0,0,61,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,-0.2159413,0,34.22661,0,0,0,0,1,9E-06
4.000,0,0,0,13.75452,6.072296,-8.014267,77,78,-0.1239013,2.057974,0,0,0,0,-1.014436,0.657312,-0.1622613,-12.71265,-62.9348,-0.8342972,-39.81245,-12.6745,28.62745,0.98,751,35,19,0,14.90196,14.90196,0,9.477127,-0.02,0,0,342.8,0,5.473001,232,73,4221,0.97,2.360456,2.132813,3.2696,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.96,0,0,0,0,0,0,0,0,0,61,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,-0.2159413,0,34.22661,0,0,0,0,1,9E-06
5.000,0,0.5421219,15.14053,13.36104,-23.52658,12.42406,77,78,9.15934E-16,2.17396,0,0.00131018,0,0.4049758,-1.342612,0.447719,0.5966714,-11.61895,-62.79223,-0.232338,-39.24329,-13.2641,29.80392,0.98,752.5,35,19,0,14.90196,14.90196,0.7032762,9.033811,0.01,1.634342,0,342.8,0,5.473474,232,73,4221,0.97,2.370216,2.140625,3.282776,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.96,0,0,0,0,0,0,0,0,0,61,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,-0.2782087,0,34.36813,0,0.0001287014,0,0.08758483,1,1.761383
6.003,0,0.5421219,15.14053,-2.320023,6.990082,2.487808,77,78,9.15934E-16,2.17396,0,0.00131018,0,0.4049758,-0.1814933,0.4011113,-0.1323337,-6.672313,-59.79994,-10.37374,-39.50053,-5.868195,29.80392,0.98,752.5,35,19,0,14.90196,14.90196,0.7032762,9.033811,0.01,1.634342,0,342.8,0,5.473474,232,73,4221,0.97,2.370216,2.140625,3.282776,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.96,0,0,0,0,0,0,0,0,0,61,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,-0.2782087,0,34.36813,0,0.0001287014,0,0.08758483,1,1.761383
7.005,0,0.5713796,15.14129,0.3925323,-0.08189392,-1.680344,77,78,9.15934E-16,2.295862,0,0.002068575,0,0.4268319,-0.4776048,0.1999909,-0.245148,-8.805738,-61.45356,-7.550682,-40.001,-8.822311,29.01961,0.98,751,35,19,0,14.90196,14.90196,0.7105529,9.015803,0.01,1.722546,0,342.8,0,5.473748,232,73,4221,0.97,2.341424,2.109375,3.175416,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.96,0,0,0,0,0,0,0,0,0,61,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-0.250189,0,33.95065,0,0.0002031999,0,0.1177766,1,3.572894
8.008,0,0.5631383,15.14204,3.384216,0.5048828,-5.230423,77,78,9.15934E-16,2.267276,0,0.00282587,0,0.4206755,-0.2555965,0.02269945,0.2393686,-9.496618,-61.00623,-6.991531,-39.88387,-8.611298,29.41176,0.98,749.5,35,19,0,14.90196,14.90196,0.7206679,8.997795,0.01,1.697701,0,342.8,0,5.474022,232,73,4221,0.97,2.308728,2.089844,3.143696,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.96,0,0,0,0,0,0,0,0,0,61,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-0.2634249,0,33.47655,0,0.0002775904,0,0.1479461,1,5.383036
9.010,0,0.5631383,15.14204,-28.56976,-43.13792,13.28426,77,78,9.15934E-16,2.267276,0,0.00282587,0,0.4206755,-0.6022139,0.3509772,-0.4455955,-15.80465,-55.13,-3.796341,-40.56762,-6.194641,29.41176,0.98,749.5,35,19,0,14.90196,14.90196,0.7206679,8.997795,0.01,1.697701,0,342.8,0,5.474022,232,73,4221,0.97,2.308728,2.089844,3.143696,-0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,12.96,0,0,0,0,0,0,0,0,0,61,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-0.2634249,0,33.47655,0,0.0002775904,0,0.1479461,1,5.383036
