Time (sec),Vehicle speed (MPH),Fuel rate (l/hr),Total CO2 (kg), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Engine coolant temperature (°C),Engine coolant temperature 1 (°C),Acceleration (m/s²),Engine Torque (kg•m),Max Speed (MPH),Total Trip CO2 (kg),Instant CO2 rate (g/km),CO2 flow (g/s), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Roll (deg), Pitch (deg),Magnetometer X (µT), Magnetometer Y (µT), Magnetometer Z (µT),Calculated load value (%), Intake manifold absolute pressure (bar), Engine RPM (RPM), Intake air temperature (°C), Ambient air temperature (°C), Absolute throttle position B (%), Accelerator pedal position D (%), Accelerator pedal position E (%), Intake manifold absolute pressure (bar), Mass air flow rate (g/s), Boost (bar),Engine Power (kW),Average Trip CO2 Rate (g/km),Altitude (m),Instant fuel economy (l/100 km),Total fuel economy (l/100 km), Time since engine start (sec), Number of warm-ups since DTCs cleared, Distance traveled since DTCs cleared (km), Barometric pressure (bar),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 1),O2 sensor current wide range (Bank 1  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 2),O2 sensor current wide range (Bank 1  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 3),O2 sensor current wide range (Bank 1  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 4),O2 sensor current wide range (Bank 1  Sensor 4) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 1),O2 sensor current wide range (Bank 2  Sensor 1) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 2),O2 sensor current wide range (Bank 2  Sensor 2) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 3),O2 sensor current wide range (Bank 2  Sensor 3) (mA),O2 sensor lambda wide range (current probe)  (Bank 2  Sensor 4),O2 sensor current wide range (Bank 2  Sensor 4) (mA), Control module voltage (V), Absolute throttle position C (%), Mass air flow sensor B (g/s), Relative throttle B position (%), Commanded boost pressure A (bar), Boost pressure sensor A (bar), Commanded boost pressure B (bar), Boost pressure sensor B (bar), Boost pressure A control status, Boost pressure B control status,Charge air cooler temperature bank 1  sensor 1 (°C),Charge air cooler temperature bank 1  sensor 2 (°C), Manifold surface temperature (°C), Intake manifold absolute pressure A (bar), Intake manifold absolute pressure B (bar),Total run time with EI-AECD #11 Timer 1 active (sec),Total run time with EI-AECD #11 Timer 2 active (sec),Total run time with EI-AECD #12 Timer 1 active (sec),Total run time with EI-AECD #12 Timer 2 active (sec), Diesel aftertreatment status,O2 sensor concentration bank 1 sensor 1 (%),O2 sensor concentration bank 1 sensor 2 (%),O2 sensor concentration bank 2 sensor 1 (%),O2 sensor concentration bank 2 sensor 2 (%), Absolute throttle position G (%),Target SCR Catalyst NH3 Storage A (g/L),Actual/Modelled SCR Catalyst NH3 Storage A (g/L),Target SCR Catalyst NH3 Storage B (g/L),Actual/Modelled SCR Catalyst NH3 Storage B (g/L), Hydrocarbon Doser Flow Rate (g/min), Hydrocarbon Doser Injector Duty Cycle (%),O2 sensor concentration bank 1 sensor 3 (%),O2 sensor concentration bank 1 sensor 4 (%),O2 sensor concentration bank 2 sensor 3 (%),O2 sensor concentration bank 2 sensor 4 (%),O2 sensor lambda bank 1 sensor 3,O2 sensor lambda bank 1 sensor 4,O2 sensor lambda bank 2 sensor 3,O2 sensor lambda bank 2 sensor 4, Engine Fuel Rate (g/s), Vehicle Fuel Rate (g/s), Engine Exhaust Flow Rate (g/s),Fuel System A Use Percentage Bank 1 (%),Fuel System A Use Percentage Bank 2 (%), Cylinder Fuel Rate, Transmission Actual Gear Status, Transmission Actual Gear Ratio, Vehicle Odometer Reading (km), Motorcycle ABS Disable Switch State, Maximum Current Vehicle Speed Limit (MPH), Alternative Fuel Tank Pressure (bar), Alternative Fuel Tank Temperature (°C),Crankcase Pressure Sensor (inH2O),Fuel System Status Bank 1,Fuel System Status Bank 2,Short Term Fuel Trim Bank 1 (%),Long Term Fuel Trim Bank 1 (%),Short Term Fuel Trim Bank 2 (%),Long Term Fuel Trim Bank 2 (%),O2 Sensor Concentration Bank 1 Sensor 5 (%),O2 Sensor Concentration Bank 1 Sensor 6 (%),O2 Sensor Concentration Bank 2 Sensor 5 (%),O2 Sensor Concentration Bank 2 Sensor 6 (%),O2 Sensor Lambda Bank 1 Sensor 5,O2 Sensor Lambda Bank 1 Sensor 6,O2 Sensor Lambda Bank 2 Sensor 5,O2 Sensor Lambda Bank 2 Sensor 6, Input voltage read by the scan tool (V), Acceleration (Avg) (m/s²), A/F Commanded, A/F Actual,Trip Distance (km), Trip Fuel (gal),Trip Fuel Economy (l/100 km),Trip Duration (min), Idling Count, Seconds Idling (sec)
0.000,0,0,0,-11.01993,1.423767,-8.198532,0,0,-0.4642989,0,0,0,0,0,-0.4738311,0.2294055,0.7809801,0.61747,-51.67048,-26.78962,-7.107071,-9.037994,30.19608,0,0,0,0,0,0,0,0,0,0,0,0,339.3,0,5.559861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1185775,0,0,0,0,0,0,1,4E-06
1.000,0,0,0,9.998383,13.41716,23.92004,0,0,-0.4642989,0,0,0,0,0,0.2970155,-0.4957759,0.2702887,2.108167,-55.14534,-30.50765,-1.60627,-9.096024,30.19608,0,0,0,0,0,0,0,0,0,0,0,0,339.3,0,5.559861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1185775,0,0,0,0,0,0,1,4E-06
2.002,0,0,0,-24.59189,16.16939,-5.409592,0,0,-0.4642989,0,0,0,0,0,0.9608061,0.007504389,-0.1177105,5.467066,-54.24672,-24.79682,16.08938,-17.61832,30.19608,0,0,0,0,0,0,0,0,0,0,0,0,339.3,0,5.559861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1185775,0,0,0,0,0,0,1,4E-06
3.000,0,0.5956902,18.5062,-8.984192,-10.72736,5.108353,90,89,-0.0008429792,2.403144,0,0.0003324419,0,0.4449924,0.867636,0.2052185,-0.1302061,2.167644,-51.68769,-16.68969,20.87254,-29.34709,29.01961,0.93,748,37,23,0,15.29412,14.90196,0,8.957673,-0.07,1.795835,0,339.1,0,5.559961,611,73,4255,0.97,2.454152,2.179688,2.379976,2.171875,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-0.05745013,0,35.58521,0,3.265637E-05,0,0.06143832,1,3.259208
4.000,0,0.5956902,18.5062,26.27185,-12.27118,-64.60014,90,89,-0.0008429792,2.403144,0,0.0003324419,0,0.4449924,-0.7064924,1.118732,-1.542831,6.486705,-37.85211,-11.77589,6.49909,-28.94641,29.01961,0.93,748,37,23,0,15.29412,14.90196,0,8.957673,-0.07,1.795835,0,339.1,0,5.559961,611,73,4255,0.97,2.454152,2.179688,2.379976,2.171875,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-0.05745013,0,35.58521,0,3.265637E-05,0,0.06143832,1,3.259208
5.000,2.485485,0.8298433,18.5082,10.24576,20.66394,1.480728,90,89,0.1734837,2.040857,2.485485,0.002325036,557.9185,0.6199094,-0.2540352,0.5183646,1.058582,7.714693,-36.66159,-21.65206,8.173481,-30.05957,50.58823,1.04,1227,37,23,0,25.4902,24.70588,1.073159,15.53126,0.07,2.50174,653.4365,339.1,20.74607,5.5604,611,73,4255,0.97,2.026176,1.84375,1.755824,1.617188,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-0.02275339,0,29.37955,0.003558167,0.0002283925,24.29788,0.09120267,1,5.045057
6.001,2.485485,0.8298433,18.5082,2.393829,16.05339,12.8387,90,89,0.1734837,2.040857,2.485485,0.002325036,557.9185,0.6199094,0.8655351,0.2802955,-0.4511094,11.34911,-34.34834,-18.05575,7.763466,-36.79756,50.58823,1.04,1227,37,23,0,25.4902,24.70588,1.073159,15.53126,0.07,2.50174,653.4365,339,20.74607,5.5604,611,73,4255,0.97,2.026176,1.84375,1.755824,1.617188,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-0.02275339,0,29.37955,0.003558167,0.0002283925,24.29788,0.09120267,1,5.045057
7.001,5.592341,1.060163,18.5096,14.75328,22.65404,12.05548,90,89,0.5640601,3.14412,5.592341,0.00372886,316.785,0.7919626,-0.05259212,0.3672392,-0.2800807,9.06116,-36.88599,-20.28472,16.62761,-38.56924,21.96078,1.02,1017.5,37,23,0,15.29412,15.68627,0.479446,12.63175,0.05,3.196087,465.9232,339.1,11.77958,5.560622,611,73,4255,0.97,2.333616,2.0625,2.311168,2.089844,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.09490484,0,33.83743,0.008003164,0.0003662927,17.32524,0.1216842,1,6.87395
8.001,5.592341,1.060163,18.5096,5.056366,20.12773,19.20021,90,89,0.5640601,3.14412,5.592341,0.00372886,316.785,0.7919626,-0.1406317,0.2447786,-0.2711666,6.809198,-33.7101,-18.41219,20.11057,-46.0605,21.96078,1.02,1017.5,37,23,0,15.29412,15.68627,0.479446,12.63175,0.05,3.196087,465.9232,339.1,11.77958,5.560622,611,73,4255,0.97,2.333616,2.0625,2.311168,2.089844,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.09490484,0,33.83743,0.008003164,0.0003662927,17.32524,0.1216842,1,6.87395
9.001,6.213712,0.7533303,18.51063,-3.052338,12.43056,-3.407593,90,89,0.4665616,1.901502,6.213712,0.004754668,202.591,0.5627527,0.5296733,-0.2204134,-0.07498495,3.854278,-36.23926,-16.89264,25.8232,-47.75128,62.35294,1.07,1195.5,37,23,0,29.80392,29.80392,0.9463775,15.56905,0.1,2.271075,363.4929,339.1,7.533298,5.560702,611,73,4255,0.97,1.403488,1.039063,1.411784,1.074219,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.1101019,0,20.35058,0.0130805,0.0004670597,13.5164,0.1511544,1,6.87395
